J02029.1	22	374	U3_5LTR	933.09	22_SS01
J02029.1	22	777	total_5LTR	1178.50	22_SS01
J02029.1	374	603	R_5LTR	1350.66	22_SS01
J02029.1	603	777	U5_5LTR	1448.35	22_SS01
J02029.1	823	1213	gag_p19	482.11	22_SS01
J02029.1	823	5210	total_gag_pro_pol	609.77	22_SS01
J02029.1	1213	1855	gag_p24	705.50	22_SS01
J02029.1	1855	2113	gag_p15	565.95	22_SS01
J02029.1	1959	2778	pro_p14	565.52	22_SS01
J02029.1	2778	5210	pol	617.93	22_SS01
J02029.1	5146	5206	px_rex_p27a	715.33	22_SS01
J02029.1	5202	6138	env_gp46	589.00	22_SS01
J02029.1	5202	6669	total_env	597.52	22_SS01
J02029.1	6138	6669	env_gp21	612.54	22_SS01
J02029.1	6686	7313	px_hbz	604.00	22_SS01
J02029.1	6686	7291	px_hbzsia	598.81	22_SS01
J02029.1	6686	7291	px_hbzsia	598.81	22_SS01
J02029.1	6852	7574	px_p30	661.92	22_SS01
J02029.1	6856	7156	px_p12	502.83	22_SS01
J02029.1	6856	8382	total_px	693.76	22_SS01
J02029.1	6943	7156	px_p12	435.08	22_SS01
J02029.1	7310	7574	px_p13	839.75	22_SS01
J02029.1	7324	7834	px_rex_p27a	793.57	22_SS01
J02029.1	7324	8382	px_tax	751.06	22_SS01
J02029.1	8300	8652	U3_3LTR	1172.59	22_SS01
J02029.1	8300	9055	total_3LTR	1160.60	22_SS01
J02029.1	8652	8881	R_3LTR	1328.91	22_SS01
J02029.1	8690	8703	px_hbzsia	1509.85	22_SS01
J02029.1	8881	9055	U5_5LTR	914.84	22_SS01
J02029.1	22	374	U3_5LTR	396.73	23_SS27
J02029.1	22	777	total_5LTR	480.74	23_SS27
J02029.1	374	603	R_5LTR	535.20	23_SS27
J02029.1	603	777	U5_5LTR	579.01	23_SS27
J02029.1	823	1213	gag_p19	183.57	23_SS27
J02029.1	823	5210	total_gag_pro_pol	235.17	23_SS27
J02029.1	1213	1855	gag_p24	241.76	23_SS27
J02029.1	1855	2113	gag_p15	235.73	23_SS27
J02029.1	1959	2778	pro_p14	213.82	23_SS27
J02029.1	2778	5210	pol	246.63	23_SS27
J02029.1	5146	5206	px_rex_p27a	279.87	23_SS27
J02029.1	5202	6138	env_gp46	259.95	23_SS27
J02029.1	5202	6669	total_env	262.34	23_SS27
J02029.1	6138	6669	env_gp21	266.56	23_SS27
J02029.1	6686	7313	px_hbz	236.67	23_SS27
J02029.1	6686	7291	px_hbzsia	235.59	23_SS27
J02029.1	6686	7291	px_hbzsia	235.59	23_SS27
J02029.1	6852	7574	px_p30	270.02	23_SS27
J02029.1	6856	7156	px_p12	201.01	23_SS27
J02029.1	6856	8382	total_px	289.70	23_SS27
J02029.1	6943	7156	px_p12	177.90	23_SS27
J02029.1	7310	7574	px_p13	359.58	23_SS27
J02029.1	7324	7834	px_rex_p27a	346.30	23_SS27
J02029.1	7324	8382	px_tax	320.78	23_SS27
J02029.1	8300	8652	U3_3LTR	464.29	23_SS27
J02029.1	8300	9055	total_3LTR	485.50	23_SS27
J02029.1	8652	8881	R_3LTR	532.77	23_SS27
J02029.1	8690	8703	px_hbzsia	593.77	23_SS27
J02029.1	8881	9055	U5_5LTR	466.19	23_SS27
J02029.1	22	374	U3_5LTR	1341.47	24_1339
J02029.1	22	777	total_5LTR	1610.45	24_1339
J02029.1	374	603	R_5LTR	1735.67	24_1339
J02029.1	603	777	U5_5LTR	1989.79	24_1339
J02029.1	823	1213	gag_p19	660.11	24_1339
J02029.1	823	5210	total_gag_pro_pol	825.22	24_1339
J02029.1	1213	1855	gag_p24	893.60	24_1339
J02029.1	1855	2113	gag_p15	758.02	24_1339
J02029.1	1959	2778	pro_p14	750.19	24_1339
J02029.1	2778	5210	pol	858.73	24_1339
J02029.1	5146	5206	px_rex_p27a	1140.60	24_1339
J02029.1	5202	6138	env_gp46	915.90	24_1339
J02029.1	5202	6669	total_env	937.28	24_1339
J02029.1	6138	6669	env_gp21	974.98	24_1339
J02029.1	6686	7313	px_hbz	941.39	24_1339
J02029.1	6686	7291	px_hbzsia	936.00	24_1339
J02029.1	6686	7291	px_hbzsia	936.00	24_1339
J02029.1	6852	7574	px_p30	1021.75	24_1339
J02029.1	6856	7156	px_p12	801.40	24_1339
J02029.1	6856	8382	total_px	1037.34	24_1339
J02029.1	6943	7156	px_p12	696.48	24_1339
J02029.1	7310	7574	px_p13	1263.72	24_1339
J02029.1	7324	7834	px_rex_p27a	1193.57	24_1339
J02029.1	7324	8382	px_tax	1104.41	24_1339
J02029.1	8300	8652	U3_3LTR	1582.98	24_1339
J02029.1	8300	9055	total_3LTR	1619.85	24_1339
J02029.1	8652	8881	R_3LTR	1723.93	24_1339
J02029.1	8690	8703	px_hbzsia	1958.62	24_1339
J02029.1	8881	9055	U5_5LTR	1557.45	24_1339
J02029.1	22	374	U3_5LTR	2796.54	ATLSkin_10
J02029.1	22	777	total_5LTR	3256.62	ATLSkin_10
J02029.1	374	603	R_5LTR	3106.83	ATLSkin_10
J02029.1	603	777	U5_5LTR	4384.49	ATLSkin_10
J02029.1	823	1213	gag_p19	1186.86	ATLSkin_10
J02029.1	823	5210	total_gag_pro_pol	1474.04	ATLSkin_10
J02029.1	1213	1855	gag_p24	1619.74	ATLSkin_10
J02029.1	1855	2113	gag_p15	1446.57	ATLSkin_10
J02029.1	1959	2778	pro_p14	1447.52	ATLSkin_10
J02029.1	2778	5210	pol	1485.39	ATLSkin_10
J02029.1	5146	5206	px_rex_p27a	1652.53	ATLSkin_10
J02029.1	5202	6138	env_gp46	1478.32	ATLSkin_10
J02029.1	5202	6669	total_env	1452.15	ATLSkin_10
J02029.1	6138	6669	env_gp21	1406.03	ATLSkin_10
J02029.1	6686	7313	px_hbz	1420.96	ATLSkin_10
J02029.1	6686	7291	px_hbzsia	1411.51	ATLSkin_10
J02029.1	6686	7291	px_hbzsia	1411.51	ATLSkin_10
J02029.1	6852	7574	px_p30	1499.86	ATLSkin_10
J02029.1	6856	7156	px_p12	1219.43	ATLSkin_10
J02029.1	6856	8382	total_px	1602.59	ATLSkin_10
J02029.1	6943	7156	px_p12	1102.00	ATLSkin_10
J02029.1	7310	7574	px_p13	1788.69	ATLSkin_10
J02029.1	7324	7834	px_rex_p27a	1717.85	ATLSkin_10
J02029.1	7324	8382	px_tax	1718.24	ATLSkin_10
J02029.1	8300	8652	U3_3LTR	3160.61	ATLSkin_10
J02029.1	8300	9055	total_3LTR	3015.32	ATLSkin_10
J02029.1	8652	8881	R_3LTR	3104.52	ATLSkin_10
J02029.1	8690	8703	px_hbzsia	3335.38	ATLSkin_10
J02029.1	8881	9055	U5_5LTR	2603.98	ATLSkin_10
J02029.1	22	374	U3_5LTR	369.79	ATLSkin_11
J02029.1	22	777	total_5LTR	418.72	ATLSkin_11
J02029.1	374	603	R_5LTR	487.15	ATLSkin_11
J02029.1	603	777	U5_5LTR	427.66	ATLSkin_11
